Category: All categories

Day,covid 19: (India)
2021-07-01,79
2021-07-02,79
2021-07-03,76
2021-07-04,75
2021-07-05,74
2021-07-06,73
2021-07-07,69
2021-07-08,71
2021-07-09,70
2021-07-10,66
2021-07-11,64
2021-07-12,67
2021-07-13,70
2021-07-14,68
2021-07-15,64
2021-07-16,58
2021-07-17,66
2021-07-18,60
2021-07-19,64
2021-07-20,54
2021-07-21,60
2021-07-22,73
2021-07-23,63
2021-07-24,59
2021-07-25,58
2021-07-26,61
2021-07-27,57
2021-07-28,59
2021-07-29,61
2021-07-30,64
2021-07-31,70
2021-08-01,62
2021-08-02,67
2021-08-03,66
2021-08-04,61
2021-08-05,63
2021-08-06,60
2021-08-07,56
2021-08-08,58
2021-08-09,61
2021-08-10,63
2021-08-11,63
2021-08-12,57
2021-08-13,60
2021-08-14,56
2021-08-15,44
2021-08-16,50
2021-08-17,54
2021-08-18,52
2021-08-19,54
2021-08-20,49
2021-08-21,49
2021-08-22,48
2021-08-23,56
2021-08-24,55
2021-08-25,59
2021-08-26,61
2021-08-27,62
2021-08-28,59
2021-08-29,60
2021-08-30,58
2021-08-31,68
2021-09-01,63
2021-09-02,56
2021-09-03,54
2021-09-04,53
2021-09-05,49
2021-09-06,59
2021-09-07,57
2021-09-08,60
2021-09-09,57
2021-09-10,51
2021-09-11,50
2021-09-12,52
2021-09-13,51
2021-09-14,52
2021-09-15,54
2021-09-16,51
2021-09-17,59
2021-09-18,55
2021-09-19,44
2021-09-20,46
2021-09-21,45
2021-09-22,44
2021-09-23,45
2021-09-24,41
2021-09-25,40
2021-09-26,36
2021-09-27,42
2021-09-28,39
2021-09-29,41
2021-09-30,42
2021-10-01,37
2021-10-02,36
2021-10-03,37
2021-10-04,39
2021-10-05,37
2021-10-06,36
2021-10-07,34
2021-10-08,32
2021-10-09,35
2021-10-10,34
2021-10-11,37
2021-10-12,34
2021-10-13,32
2021-10-14,33
2021-10-15,27
2021-10-16,32
2021-10-17,37
2021-10-18,37
2021-10-19,36
2021-10-20,33
2021-10-21,43
2021-10-22,42
2021-10-23,42
2021-10-24,32
2021-10-25,41
2021-10-26,44
2021-10-27,41
2021-10-28,43
2021-10-29,40
2021-10-30,36
2021-10-31,31
2021-11-01,32
2021-11-02,31
2021-11-03,27
2021-11-04,25
2021-11-05,26
2021-11-06,28
2021-11-07,31
2021-11-08,34
2021-11-09,33
2021-11-10,32
2021-11-11,31
2021-11-12,33
2021-11-13,35
2021-11-14,29
2021-11-15,33
2021-11-16,33
2021-11-17,30
2021-11-18,32
2021-11-19,27
2021-11-20,31
2021-11-21,30
2021-11-22,34
2021-11-23,34
2021-11-24,34
2021-11-25,33
2021-11-26,40
2021-11-27,45
2021-11-28,50
2021-11-29,48
2021-11-30,49
2021-12-01,48
2021-12-02,50
2021-12-03,51
2021-12-04,45
2021-12-05,45
2021-12-06,47
2021-12-07,49
2021-12-08,42
2021-12-09,41
2021-12-10,39
2021-12-11,40
2021-12-12,38
2021-12-13,39
2021-12-14,39
2021-12-15,41
2021-12-16,39
2021-12-17,44
2021-12-18,42
2021-12-19,40
2021-12-20,44
2021-12-21,39
2021-12-22,37
2021-12-23,45
2021-12-24,50
2021-12-25,42
2021-12-26,51
2021-12-27,44
2021-12-28,46
2021-12-29,53
2021-12-30,53
2021-12-31,52
2022-01-01,55
2022-01-02,75
2022-01-03,83
2022-01-04,89
2022-01-05,91
2022-01-06,98
2022-01-07,100
2022-01-08,92
2022-01-09,87
2022-01-10,99
2022-01-11,89
2022-01-12,89
2022-01-13,82
2022-01-14,72
2022-01-15,74
2022-01-16,75
2022-01-17,80
2022-01-18,73
2022-01-19,70
2022-01-20,73
2022-01-21,63
2022-01-22,61
2022-01-23,52
2022-01-24,60
2022-01-25,54
2022-01-26,49
2022-01-27,49
2022-01-28,46
2022-01-29,50
2022-01-30,44
2022-01-31,47
2022-02-01,41
2022-02-02,42
2022-02-03,41
2022-02-04,33
2022-02-05,32
2022-02-06,30
2022-02-07,32
2022-02-08,30
2022-02-09,28
2022-02-10,30
2022-02-11,29
2022-02-12,28
2022-02-13,27
2022-02-14,26
2022-02-15,28
2022-02-16,28
2022-02-17,28
2022-02-18,24
