Category: All categories

Day,covid medicines: (India)
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,7
2020-03-05,7
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,23
2020-03-10,8
2020-03-11,14
2020-03-12,13
2020-03-13,7
2020-03-14,15
2020-03-15,16
2020-03-16,0
2020-03-17,14
2020-03-18,0
2020-03-19,56
2020-03-20,14
2020-03-21,46
2020-03-22,100
2020-03-23,65
2020-03-24,44
2020-03-25,31
2020-03-26,54
2020-03-27,66
2020-03-28,53
2020-03-29,32
2020-03-30,67
2020-03-31,53
2020-04-01,37
2020-04-02,15
2020-04-03,31
2020-04-04,32
2020-04-05,24
2020-04-06,46
2020-04-07,46
2020-04-08,39
2020-04-09,24
2020-04-10,48
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,48
2020-04-15,40
2020-04-16,47
2020-04-17,8
2020-04-18,16
2020-04-19,51
2020-04-20,31
2020-04-21,32
2020-04-22,40
2020-04-23,38
2020-04-24,8
2020-04-25,17
2020-04-26,43
2020-04-27,0
2020-04-28,39
2020-04-29,15
2020-04-30,21
2020-05-01,16
2020-05-02,16
2020-05-03,42
2020-05-04,15
2020-05-05,15
2020-05-06,8
2020-05-07,39
2020-05-08,48
2020-05-09,0
2020-05-10,34
2020-05-11,23
2020-05-12,39
2020-05-13,8
2020-05-14,8
2020-05-15,16
2020-05-16,8
2020-05-17,33
2020-05-18,8
2020-05-19,23
2020-05-20,23
2020-05-21,24
2020-05-22,23
2020-05-23,39
2020-05-24,8
2020-05-25,16
2020-05-26,29
2020-05-27,22
2020-05-28,30
2020-05-29,7
2020-05-30,15
2020-05-31,24
2020-06-01,15
2020-06-02,57
2020-06-03,14
2020-06-04,21
2020-06-05,21
2020-06-06,15
2020-06-07,24
2020-06-08,34
2020-06-09,33
2020-06-10,49
2020-06-11,50
2020-06-12,22
2020-06-13,22
2020-06-14,60
2020-06-15,43
2020-06-16,21
2020-06-17,49
2020-06-18,14
2020-06-19,22
2020-06-20,44
2020-06-21,52
2020-06-22,64
2020-06-23,70
2020-06-24,29
2020-06-25,56
2020-06-26,21
2020-06-27,28
2020-06-28,55
2020-06-29,0
2020-06-30,27
2020-07-01,14
2020-07-02,14
2020-07-03,28
2020-07-04,14
2020-07-05,23
2020-07-06,27
2020-07-07,14
2020-07-08,14
2020-07-09,41
2020-07-10,28
2020-07-11,64
2020-07-12,23
2020-07-13,68
2020-07-14,20
2020-07-15,39
2020-07-16,55
2020-07-17,62
2020-07-18,14
2020-07-19,61
2020-07-20,49
2020-07-21,34
2020-07-22,55
2020-07-23,78
2020-07-24,14
2020-07-25,22
2020-07-26,98
2020-07-27,55
2020-07-28,41
2020-07-29,26
2020-07-30,60
2020-07-31,28
2020-08-01,0
2020-08-02,62
2020-08-03,54
2020-08-04,42
2020-08-05,34
2020-08-06,33
2020-08-07,53
2020-08-08,35
2020-08-09,37
2020-08-10,7
2020-08-11,33
2020-08-12,14
2020-08-13,7
2020-08-14,41
2020-08-15,52
2020-08-16,46
2020-08-17,27
2020-08-18,7
2020-08-19,7
2020-08-20,35
2020-08-21,42
2020-08-22,38
2020-08-23,23
2020-08-24,21
2020-08-25,61
2020-08-26,21
2020-08-27,55
2020-08-28,42
2020-08-29,22
2020-08-30,46
2020-08-31,62
2020-09-01,27
2020-09-02,27
2020-09-03,48
2020-09-04,27
2020-09-05,14
2020-09-06,30
2020-09-07,41
2020-09-08,7
2020-09-09,34
2020-09-10,48
2020-09-11,47
2020-09-12,49
2020-09-13,62
2020-09-14,73
2020-09-15,34
2020-09-16,54
2020-09-17,56
2020-09-18,20
2020-09-19,33
2020-09-20,29
2020-09-21,44
2020-09-22,18
2020-09-23,55
2020-09-24,44
2020-09-25,13
2020-09-26,21
2020-09-27,30
2020-09-28,33
2020-09-29,26
2020-09-30,20
2020-10-01,13
2020-10-02,14
2020-10-03,47
2020-10-04,29
2020-10-05,13
2020-10-06,26
2020-10-07,6
2020-10-08,40
2020-10-09,54
2020-10-10,7
2020-10-11,0
2020-10-12,40
2020-10-13,7
2020-10-14,34
2020-10-15,14
2020-10-16,20
2020-10-17,34
2020-10-18,29
2020-10-19,21
2020-10-20,27
2020-10-21,34
2020-10-22,21
2020-10-23,21
2020-10-24,30
2020-10-25,24
2020-10-26,7
2020-10-27,14
2020-10-28,21
2020-10-29,7
2020-10-30,14
2020-10-31,14
